ell,DeltaCl_over_Cl_A_percent,DeltaCl_over_Cl_B_percent
2,-2.7977260597858114e-31,-8.393178179357434e-31
3,-6.29068844398062e-31,-1.887206533194186e-30
4,-1.1175992976541865e-30,-3.3527978929625596e-30
5,-1.745085124618702e-30,-5.235255373856106e-30
6,-2.5112478560344617e-30,-7.533743568103385e-30
7,-3.415809394102264e-30,-1.0247428182306791e-29
8,-4.4584920120680864e-30,-1.337547603620426e-29
9,-5.639018353810759e-30,-1.6917055061432276e-29
10,-6.957111433430022e-30,-2.0871334300290066e-29
11,-8.412494634835014e-30,-2.5237483904505044e-29
12,-1.0004891711333173e-29,-3.001467513399952e-29
13,-1.173402678521953e-29,-3.520208035565859e-29
14,-1.3599624347366432e-29,-4.07988730420993e-29
15,-1.5601409256813662e-29,-4.680422777044099e-29
16,-1.773910674035899e-29,-5.321732022107696e-29
17,-2.0012442392149106e-29,-6.003732717644731e-29
18,-2.2421142173270974e-29,-6.726342651981292e-29
19,-2.4964932411343617e-29,-7.489479723403086e-29
20,-2.7643539800110274e-29,-8.293061940033082e-29
21,-3.0456691399030955e-29,-9.137007419709288e-29
22,-3.340411463287549e-29,-1.0021234389862649e-28
23,-3.6485537291316895e-29,-1.094566118739507e-28
24,-3.9700687528525135e-29,-1.1910206258557543e-28
25,-4.304929386276143e-29,-1.291478815882843e-28
26,-4.653108517597274e-29,-1.3959325552791824e-28
27,-5.014579071338693e-29,-1.504373721401608e-28
28,-5.38931400831081e-29,-1.6167942024932434e-28
29,-5.777286325571241e-29,-1.7331858976713724e-28
30,-6.178469056384439e-29,-1.8535407169153318e-28
31,-6.592835270181355e-29,-1.9778505810544066e-28
32,-7.020358072519137e-29,-2.1061074217557414e-28
33,-7.461010605040888e-29,-2.2383031815122667e-28
34,-7.914766045435436e-29,-2.374429813630631e-28
35,-8.381597607397164e-29,-2.5144792822191497e-28
36,-8.861478540585888e-29,-2.6584435621757665e-28
37,-9.354382130586743e-29,-2.8063146391760233e-28
38,-9.860281698870146e-29,-2.958084509661044e-28
39,-1.037915060275177e-28,-3.1137451808255316e-28
40,-1.0910962235352587e-28,-3.273288670605776e-28
41,-1.1455690025558903e-28,-3.436707007667671e-28
42,-1.20133074379825e-28,-3.60399223139475e-28
43,-1.2583787972920767e-28,-3.77513639187623e-28
44,-1.316710516631688e-28,-3.9501315498950637e-28
45,-1.3763232589720032e-28,-4.1289697769160105e-28
46,-1.4372143850245713e-28,-4.311643155073714e-28
47,-1.4993812590535995e-28,-4.498143777160799e-28
48,-1.5628212488719892e-28,-4.688463746615968e-28
49,-1.6275317258373732e-28,-4.88259517751212e-28
50,-1.6935100648481605e-28,-5.080530194544482e-28
51,-1.7607536443395804e-28,-5.282260933018742e-28
52,-1.8292598462797336e-28,-5.487779538839201e-28
53,-1.8990260561656487e-28,-5.697078168496946e-28
54,-1.970049663019336e-28,-5.910148989058008e-28
55,-2.0423280593838555e-28,-6.126984178151567e-28
56,-2.1158586413193795e-28,-6.3475759239581385e-28
57,-2.1906388083992608e-28,-6.571916425197781e-28
58,-2.2666659637061145e-28,-6.799997891118344e-28
59,-2.3439375138278867e-28,-7.031812541483661e-28
60,-2.422450868853947e-28,-7.267352606561842e-28
61,-2.5022034423711608e-28,-7.506610327113482e-28
62,-2.5831926514599944e-28,-7.749577954379985e-28
63,-2.665415916690596e-28,-7.99624775007179e-28
64,-2.748870662118902e-28,-8.246611986356706e-28
65,-2.8335543152827345e-28,-8.500662945848204e-28
66,-2.9194643071979076e-28,-8.758392921593722e-28
67,-3.006598072354338e-28,-9.019794217063015e-28
68,-3.094953048712157e-28,-9.284859146136472e-28
69,-3.1845266776978273e-28,-9.553580033093483e-28
70,-3.2753164042002683e-28,-9.825949212600807e-28
71,-3.367319676566974e-28,-1.0101959029700922e-27
72,-3.46053394660015e-28,-1.038160183980045e-27
73,-3.55495666955284e-28,-1.066487000865852e-27
74,-3.650585304125065e-28,-1.0951755912375196e-27
75,-3.7474173124599656e-28,-1.1242251937379898e-27
76,-3.8454501601399417e-28,-1.1536350480419826e-27
77,-3.9446813161828083e-28,-1.1834043948548426e-27
78,-4.045108253037941e-28,-1.2135324759113822e-27
79,-4.146728446582433e-28,-1.2440185339747298e-27
80,-4.24953937611726e-28,-1.2748618128351781e-27
81,-4.353538524363435e-28,-1.3060615573090304e-27
82,-4.45872337745819e-28,-1.337617013237457e-27
83,-4.565091424951131e-28,-1.3695274274853395e-27
84,-4.672640159800431e-28,-1.4017920479401291e-27
85,-4.781367078368984e-28,-1.4344101235106953e-27
86,-4.891269680420623e-28,-1.467380904126187e-27
87,-5.002345469116273e-28,-1.500703640734882e-27
88,-5.114591951010162e-28,-1.5343775853030484e-27
89,-5.228006636046011e-28,-1.5684019908138032e-27
90,-5.342587037553229e-28,-1.6027761112659687e-27
91,-5.45833067224312e-28,-1.637499201672936e-27
92,-5.575235060205083e-28,-1.6725705180615254e-27
93,-5.6932977249028315e-28,-1.7079893174708494e-27
94,-5.812516193170593e-28,-1.743754857951178e-27
95,-5.932887995209345e-28,-1.779866398562804e-27
96,-6.054410664583013e-28,-1.816323199374904e-27
97,-6.177081738214719e-28,-1.8531245214644157e-27
98,-6.3008987563829945e-28,-1.8902696269148985e-27
99,-6.425859262718024e-28,-1.9277577788154076e-27
100,-6.551960804197868e-28,-1.96558824125936e-27
101,-6.679200931144715e-28,-2.0037602793434145e-27
102,-6.807577197221125e-28,-2.0422731591663377e-27
103,-6.9370871594262695e-28,-2.081126147827881e-27
104,-7.067728378092188e-28,-2.1203185134276565e-27
105,-7.19949841688005e-28,-2.159849525064015e-27
106,-7.33239484277639e-28,-2.199718452832917e-27
107,-7.466415226089405e-28,-2.2399245678268217e-27
108,-7.601557140445199e-28,-2.2804671421335596e-27
109,-7.737818162784055e-28,-2.3213454488352166e-27
110,-7.87519587335671e-28,-2.362558762007013e-27
111,-8.013687855720638e-28,-2.4041063567161916e-27
112,-8.153291696736338e-28,-2.4459875090209013e-27
113,-8.29400498656359e-28,-2.488201495969077e-27
114,-8.43582531865778e-28,-2.5307475955973338e-27
115,-8.578750289766172e-28,-2.5736250869298517e-27
116,-8.722777499924216e-28,-2.6168332499772653e-27
117,-8.86790455245183e-28,-2.660371365735549e-27
118,-9.014129053949721e-28,-2.7042387161849168e-27
119,-9.161448614295703e-28,-2.748434584288711e-27
120,-9.309860846640966e-28,-2.7929582539922896e-27
121,-9.45936336740644e-28,-2.837809010221932e-27
122,-9.60995379627908e-28,-2.882986138883724e-27
123,-9.76162975620822e-28,-2.9284889268624662e-27
124,-9.914388873401854e-28,-2.9743166620205567e-27
125,-1.0068228777323017e-27,-3.0204686331969053e-27
126,-1.0223147100686078e-27,-3.0669441302058236e-27
127,-1.0379141479453104e-27,-3.1137424438359312e-27
128,-1.0536209552830185e-27,-3.1608628658490556e-27
129,-1.069434896326379e-27,-3.2083046889791375e-27
130,-1.0853557356437113e-27,-3.2560672069311344e-27
131,-1.1013832381266409e-27,-3.3041497143799224e-27
132,-1.1175171689897375e-27,-3.3525515069692126e-27
133,-1.1337572937701503e-27,-3.401271881310451e-27
134,-1.1501033783272422e-27,-3.450310134981726e-27
135,-1.1665551888422296e-27,-3.499665566526689e-27
136,-1.1831124918178176e-27,-3.549337475453453e-27
137,-1.199775054077837e-27,-3.599325162233511e-27
138,-1.2165426427668842e-27,-3.649627928300653e-27
139,-1.2334150253499572e-27,-3.700245076049872e-27
140,-1.2503919696120957e-27,-3.751175908836287e-27
141,-1.2674732436580184e-27,-3.802419730974055e-27
142,-1.2846586159117626e-27,-3.853975847735289e-27
143,-1.3019478551163271e-27,-3.9058435653489816e-27
144,-1.3193407303333058e-27,-3.958022190999918e-27
145,-1.3368370109425343e-27,-4.010511032827603e-27
146,-1.3544364666417265e-27,-4.0633093999251794e-27
147,-1.372138867446118e-27,-4.1164166023383545e-27
148,-1.3899439836881054e-27,-4.1698319510643165e-27
149,-1.4078515860168904e-27,-4.2235547580506715e-27
150,-1.4258614453981222e-27,-4.2775843361943664e-27
151,-1.4439733331135344e-27,-4.3319199993406035e-27
152,-1.4621870207605968e-27,-4.3865610622817906e-27
153,-1.4805022802521503e-27,-4.4415068407564515e-27
154,-1.4989188838160578e-27,-4.496756651448174e-27
155,-1.5174366039948415e-27,-4.5523098119845245e-27
156,-1.5360552136453315e-27,-4.6081656409359944e-27
157,-1.554774485938309e-27,-4.6643234578149276e-27
158,-1.5735941943581515e-27,-4.7207825830744555e-27
159,-1.5925141127024792e-27,-4.777542338107438e-27
160,-1.6115340150817984e-27,-4.834602045245395e-27
161,-1.6306536759191486e-27,-4.891961027757446e-27
162,-1.649872869949752e-27,-4.949618609849256e-27
163,-1.6691913722206545e-27,-5.007574116661964e-27
164,-1.6886089580903796e-27,-5.065826874271139e-27
165,-1.7081254032285683e-27,-5.124376209685706e-27
166,-1.727740483615634e-27,-5.183221450846903e-27
167,-1.7474539755424075e-27,-5.2423619266272224e-27
168,-1.767265655609785e-27,-5.301796966829355e-27
169,-1.7871753007283775e-27,-5.361525902185133e-27
170,-1.8071826881181628e-27,-5.4215480643544884e-27
