ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
2,-2.9590149782537055e-09,-8.877044934761116e-09
3,-6.653346657782221e-09,-1.9960039973346663e-08
4,-1.1820289016065198e-08,-3.5460867048195595e-08
5,-1.8456892889898588e-08,-5.537067866969576e-08
6,-2.6560213049173107e-08,-7.968063914751932e-08
7,-3.6127308192504445e-08,-1.0838192457751334e-07
8,-4.715524094286765e-08,-1.4146572282860294e-07
9,-5.964107784323613e-08,-1.7892323352970838e-07
10,-7.358188935222479e-08,-2.2074566805667436e-07
11,-8.897474983973764e-08,-2.669242495192129e-07
12,-1.058167375826198e-07,-3.1745021274785937e-07
13,-1.241049347603137e-07,-3.7231480428094107e-07
14,-1.438364274505198e-07,-4.315092823515594e-07
15,-1.6500830562486138e-07,-4.950249168745841e-07
16,-1.8761766314455414e-07,-5.628529894336624e-07
17,-2.116615977560797e-07,-6.34984793268239e-07
18,-2.3713721108686337e-07,-7.1141163326059e-07
19,-2.640416086409569e-07,-7.921248259228707e-07
20,-2.9237189979472477e-07,-8.771156993841743e-07
21,-3.22125197792535e-07,-9.66375593377605e-07
22,-3.5329861974245475e-07,-1.059895859227364e-06
23,-3.858892866119499e-07,-1.1576678598358495e-06
24,-4.198943232235883e-07,-1.259682969670765e-06
25,-4.553108582507489e-07,-1.3659325747522467e-06
26,-4.921360242133331e-07,-1.476408072639999e-06
27,-5.303669574734824e-07,-1.5911008724204471e-06
28,-5.700007982312993e-07,-1.7100023946938978e-06
29,-6.110346905205716e-07,-1.8331040715617147e-06
30,-6.534657822045037e-07,-1.960397346613511e-06
31,-6.972912249714492e-07,-2.0918736749143473e-06
32,-7.425081743306495e-07,-2.227524522991948e-06
33,-7.891137896079763e-07,-2.3673413688239283e-06
34,-8.371052339416779e-07,-2.5113157018250335e-06
35,-8.864796742781303e-07,-2.6594390228343908e-06
36,-9.372342813675931e-07,-2.8117028441027792e-06
37,-9.893662297599677e-07,-2.968098689279903e-06
38,-1.042872697800562e-06,-3.1286180934016858e-06
39,-1.0977508676258577e-06,-3.293252602877573e-06
40,-1.1539979251592836e-06,-3.4619937754778503e-06
41,-1.211611060106989e-06,-3.634833180320967e-06
42,-1.2705874659536294e-06,-3.8117623978608882e-06
43,-1.330924339958147e-06,-3.992773019874441e-06
