ell,Delta_Cl_over_Cl
2,-8.393178179357435e-33
3,-1.887206533194186e-32
4,-3.3527978929625597e-32
5,-5.235255373856106e-32
6,-7.533743568103385e-32
7,-1.0247428182306792e-31
8,-1.337547603620426e-31
9,-1.6917055061432276e-31
10,-2.0871334300290066e-31
11,-2.5237483904505045e-31
12,-3.001467513399952e-31
13,-3.520208035565859e-31
14,-4.07988730420993e-31
15,-4.680422777044099e-31
16,-5.321732022107697e-31
17,-6.003732717644731e-31
18,-6.726342651981292e-31
19,-7.489479723403086e-31
20,-8.293061940033082e-31
21,-9.137007419709288e-31
22,-1.0021234389862648e-30
23,-1.094566118739507e-30
24,-1.1910206258557542e-30
25,-1.291478815882843e-30
26,-1.3959325552791823e-30
27,-1.504373721401608e-30
28,-1.6167942024932433e-30
29,-1.7331858976713723e-30
30,-1.8535407169153318e-30
31,-1.9778505810544067e-30
32,-2.1061074217557415e-30
33,-2.2383031815122667e-30
34,-2.374429813630631e-30
35,-2.5144792822191497e-30
36,-2.6584435621757663e-30
37,-2.8063146391760232e-30
38,-2.958084509661044e-30
39,-3.1137451808255314e-30
40,-3.273288670605776e-30
41,-3.436707007667671e-30
42,-3.60399223139475e-30
43,-3.77513639187623e-30
44,-3.950131549895064e-30
45,-4.1289697769160106e-30
46,-4.3116431550737144e-30
47,-4.4981437771607985e-30
48,-4.688463746615968e-30
49,-4.88259517751212e-30
50,-5.080530194544482e-30
51,-5.282260933018742e-30
52,-5.487779538839201e-30
53,-5.697078168496946e-30
54,-5.910148989058008e-30
55,-6.126984178151567e-30
56,-6.347575923958138e-30
57,-6.571916425197782e-30
58,-6.799997891118344e-30
59,-7.031812541483662e-30
60,-7.267352606561842e-30
61,-7.506610327113482e-30
62,-7.749577954379985e-30
63,-7.996247750071789e-30
64,-8.246611986356706e-30
65,-8.500662945848203e-30
66,-8.758392921593723e-30
67,-9.019794217063015e-30
68,-9.284859146136472e-30
69,-9.553580033093482e-30
70,-9.825949212600806e-30
71,-1.0101959029700922e-29
72,-1.038160183980045e-29
73,-1.0664870008658519e-29
74,-1.0951755912375197e-29
75,-1.1242251937379897e-29
76,-1.1536350480419826e-29
77,-1.1834043948548426e-29
78,-1.2135324759113821e-29
79,-1.2440185339747298e-29
80,-1.274861812835178e-29
81,-1.3060615573090304e-29
82,-1.337617013237457e-29
83,-1.3695274274853395e-29
84,-1.401792047940129e-29
85,-1.4344101235106953e-29
86,-1.467380904126187e-29
87,-1.500703640734882e-29
88,-1.5343775853030484e-29
89,-1.5684019908138033e-29
90,-1.6027761112659688e-29
91,-1.637499201672936e-29
92,-1.6725705180615253e-29
93,-1.7079893174708495e-29
94,-1.7437548579511783e-29
95,-1.7798663985628037e-29
96,-1.816323199374904e-29
97,-1.853124521464416e-29
98,-1.8902696269148984e-29
99,-1.9277577788154074e-29
100,-1.9655882412593603e-29
101,-2.0037602793434145e-29
102,-2.0422731591663378e-29
103,-2.081126147827881e-29
104,-2.1203185134276565e-29
105,-2.1598495250640148e-29
106,-2.199718452832917e-29
107,-2.2399245678268217e-29
108,-2.2804671421335596e-29
109,-2.3213454488352168e-29
110,-2.362558762007013e-29
111,-2.4041063567161915e-29
112,-2.4459875090209013e-29
113,-2.488201495969077e-29
114,-2.530747595597334e-29
115,-2.573625086929852e-29
116,-2.6168332499772654e-29
117,-2.660371365735549e-29
118,-2.704238716184917e-29
119,-2.7484345842887113e-29
120,-2.7929582539922896e-29
121,-2.837809010221932e-29
122,-2.882986138883724e-29
123,-2.928488926862466e-29
124,-2.974316662020557e-29
125,-3.020468633196905e-29
126,-3.0669441302058236e-29
127,-3.113742443835931e-29
128,-3.160862865849056e-29
129,-3.2083046889791376e-29
130,-3.2560672069311344e-29
131,-3.3041497143799225e-29
132,-3.3525515069692127e-29
133,-3.401271881310451e-29
134,-3.4503101349817267e-29
135,-3.4996655665266884e-29
136,-3.5493374754534526e-29
137,-3.599325162233511e-29
138,-3.649627928300653e-29
139,-3.700245076049872e-29
140,-3.751175908836287e-29
141,-3.802419730974055e-29
142,-3.8539758477352886e-29
143,-3.9058435653489813e-29
144,-3.958022190999918e-29
145,-4.0105110328276026e-29
146,-4.06330939992518e-29
147,-4.1164166023383545e-29
148,-4.1698319510643165e-29
149,-4.223554758050672e-29
150,-4.2775843361943667e-29
151,-4.331919999340603e-29
152,-4.3865610622817903e-29
153,-4.4415068407564514e-29
154,-4.4967566514481736e-29
155,-4.5523098119845243e-29
156,-4.6081656409359947e-29
157,-4.6643234578149276e-29
158,-4.720782583074455e-29
159,-4.7775423381074373e-29
160,-4.834602045245395e-29
161,-4.891961027757446e-29
162,-4.949618609849256e-29
163,-5.007574116661964e-29
164,-5.065826874271139e-29
165,-5.124376209685705e-29
166,-5.183221450846903e-29
167,-5.242361926627222e-29
168,-5.301796966829355e-29
169,-5.361525902185133e-29
170,-5.421548064354488e-29
171,-5.481862785924394e-29
172,-5.542469400407815e-29
173,-5.603367242242659e-29
174,-5.664555646790733e-29
175,-5.726033950336692e-29
176,-5.787801490086995e-29
177,-5.84985760416886e-29
178,-5.91220163162922e-29
179,-5.974832912433682e-29
180,-6.037750787465484e-29
181,-6.100954598524455e-29
182,-6.164443688325975e-29
183,-6.22821740049994e-29
184,-6.29227507958972e-29
185,-6.356616071051129e-29
186,-6.421239721251374e-29
187,-6.48614537746805e-29
188,-6.551332387888077e-29
189,-6.616800101606687e-29
190,-6.682547868626384e-29
191,-6.748575039855909e-29
192,-6.814880967109238e-29
193,-6.881465003104521e-29
194,-6.948326501463067e-29
195,-7.015464816708333e-29
196,-7.08287930426487e-29
197,-7.150569320457334e-29
198,-7.218534222509435e-29
199,-7.286773368542922e-29
200,-7.355286117576577e-29
201,-7.424071829525177e-29
202,-7.493129865198485e-29
203,-7.562459586300234e-29
204,-7.632060355427099e-29
205,-7.701931536067698e-29
206,-7.772072492601567e-29
207,-7.84248259029815e-29
208,-7.913161195315778e-29
